Model,Vehicle,Type,Origin,Seats,Drive,Engine,Cylinders,Horsepower,Mileage Overall,Mileage Highway,Mileage City,Zero-60 (sec),Braking Dry (ft),Braking Wet (ft),Avoidance Maneuver (mph),Length,Width,Height,Wheelbase,Turning Circle,Weight,Max Load,Cargo Volume,Front Shoulder,Front Leg Room,Front Head Room,Rear Shoulder,Rear Leg Room,Rear Head Room,Reliable,Satisfaction,Routine Handling,Emergency Handling,CrashDriver,CrashPassenger,SideCrashDriver,SideCrashPassenger,Frontal Offset-IIHS,Side-IIHS,Rollover Rating,Price,Category,Unnamed: 43
Ford Explorer,sport utility,midsize sport utility,USA,5.0,rear or parttime 4WD,4.0,6.0,210.0,15.0,22.0,10.0,9.7,152.0,163.0,50.5,193.0,74.0,73.0,114.0,38.0,4905.0,1275.0,48.0,58.5,40.5,2.5,58.5,28.0,4.0,average,fair,good,good,5,5,5,5.0,good,acceptable,average,37000.0,0.0,
Ford Explorer Sport Trac,truck,truck,USA,6.0,rear or parttime 4WD,4.0,6.0,210.0,14.0,21.0,9.0,10.6,146.0,170.0,48.0,210.0,74.0,73.0,131.0,43.0,4985.0,1205.0,,58.5,41.5,3.0,58.5,28.5,3.5,average,fair,,good,5,5,5,5.0,good,acceptable,good,32000.0,0.0,
Ford F-150,truck,truck,USA,5.0,all,5.4,8.0,300.0,13.0,19.0,9.0,8.8,153.0,190.0,45.0,224.0,79.0,76.0,139.0,47.0,5690.0,1510.0,,66.0,40.0,5.0,66.0,30.0,4.0,average,average,good,fair,,,,,good,good,good,40000.0,0.0,
Ford F-250,truck,truck,USA,5.0,all,6.4,8.0,350.0,10.0,16.0,7.0,9.8,159.0,181.0,44.0,231.0,80.0,80.0,156.0,54.0,8025.0,1905.0,,67.0,41.0,4.0,67.0,31.0,6.0,poor,fair,poor,poor,,,,,,,,42000.0,0.0,
Ford Flex,sport utility,midsize sport utility,USA,5.0,front,3.5,6.0,262.0,17.0,25.0,11.0,9.0,144.0,157.0,51.0,202.0,80.0,68.0,118.0,,4805.0,1160.0,47.5,58.5,41.5,6.5,58.0,31.5,7.0,,,poor,good,5,5,5,5.0,good,good,good,36000.0,0.0,
Ford Focus,car,small car,USA,5.0,front,2.0,4.0,132.0,26.0,35.0,18.0,10.1,137.0,147.0,53.0,175.0,68.0,59.0,103.0,,2800.0,825.0,14.0,53.5,,,53.5,,,good,average,,,4,4,5,4.0,good,acceptable,good,19000.0,1.0,
Ford Freestar,sport utility,midsize sport utility,USA,7.0,front or all,3.0,6.0,203.0,18.0,,,9.1,142.0,,47.0,201.0,77.0,69.0,121.0,42.0,4425.0,1315.0,61.5,61.0,40.0,5.5,64.0,29.0,6.0,average,fair,very good,good,5,5,4,5.0,good,,good,30000.0,0.0,
Ford Freestyle,car,family car,USA,5.0,front,3.0,6.0,221.0,,,,,,,,200.0,74.0,68.0,113.0,42.0,4280.0,,,58.5,,,58.0,,,poor,average,,,5,5,5,5.0,,,,29000.0,0.0,
Ford Fusion,car,family car,USA,5.0,rear,3.0,6.0,221.0,20.0,29.0,14.0,8.0,136.0,143.0,52.5,190.0,72.0,56.0,107.0,42.0,3480.0,850.0,16.0,57.5,40.5,2.5,56.0,28.0,2.5,excellent,good,,,5,5,5,4.0,good,good,excellent,26000.0,0.0,
Ford Mustang,car,coupe,USA,4.0,rear,4.0,6.0,210.0,20.0,30.0,13.0,7.5,139.0,145.0,51.5,188.0,74.0,55.0,107.0,36.0,3590.0,700.0,13.0,55.5,41.5,5.0,46.0,23.5,0.0,average,average,,,5,5,5,5.0,acceptable,good,excellent,28000.0,0.0,
Ford Ranger,truck,truck,USA,6.0,front,3.5,6.0,201.0,22.0,,,8.3,154.0,,48.5,202.0,70.0,68.0,126.0,45.0,3870.0,1210.0,,54.0,42.5,5.0,18.0,22.5,2.0,average,poor,,,5,4,4,,acceptable,marginal,average,25000.0,0.0,
Ford Taurus,car,family car,USA,5.0,front or all,3.5,6.0,263.0,18.0,27.0,12.0,7.9,138.0,149.0,53.0,202.0,75.0,62.0,113.0,42.0,3900.0,950.0,21.0,57.5,41.0,3.5,57.5,32.0,4.0,average,average,very good,very good,5,5,5,5.0,good,good,good,28000.0,0.0,
Ford Taurus X,sport utility,midsize sport utility,USA,5.0,front or all,3.5,6.0,263.0,16.0,23.0,11.0,8.5,147.0,152.0,52.0,200.0,75.0,67.0,113.0,42.0,4420.0,1150.0,38.0,58.5,38.5,3.0,58.0,30.0,5.0,average,average,,,5,5,5,5.0,good,good,good,34000.0,0.0,
Ford Thunderbird,car,sports car,USA,5.0,front or all,3.5,6.0,275.0,16.0,24.0,10.0,8.8,142.0,162.0,50.0,186.0,72.0,52.0,107.0,38.0,3905.0,455.0,7.0,57.5,40.5,2.0,,,,average,good,very good,good,4,5,5,,,,excellent,50000.0,0.0,
GMC Acadia,sport utility,midsize sport utility,USA,6.0,front or all,3.5,6.0,263.0,16.0,23.0,11.0,9.6,156.0,167.0,47.5,201.0,78.0,70.0,119.0,42.0,5015.0,1320.0,48.5,62.0,41.0,3.5,60.5,30.0,3.5,fair,average,,,5,5,5,5.0,good,good,good,37000.0,0.0,
GMC Canyon,truck,truck,USA,5.0,rear or selectable 4WD,3.5,6.0,242.0,15.0,21.0,10.0,9.1,152.0,159.0,49.5,207.0,69.0,65.0,126.0,48.0,4270.0,1125.0,,54.5,42.0,5.0,54.0,26.0,3.0,poor,poor,,,5,5,4,5.0,acceptable,poor,good,27000.0,0.0,
GMC Envoy,sport utility,midsize sport utility,USA,5.0,rear or all,4.2,6.0,285.0,14.0,,,8.5,153.0,,49.5,192.0,75.0,75.0,113.0,39.0,4830.0,1020.0,39.0,58.5,40.0,2.5,58.0,25.5,3.5,average,poor,,,3,4,5,5.0,acceptable,marginal,good,35000.0,0.0,
GMC Sierra 1500,truck,truck,USA,5.0,rear or all,3.5,6.0,315.0,14.0,20.0,10.0,8.5,153.0,185.0,46.5,230.0,80.0,74.0,144.0,50.0,5435.0,1570.0,,64.5,41.0,6.5,64.5,29.0,6.0,average,average,,,5,5,5,5.0,,,good,37000.0,0.0,
GMC Yukon,sport utility,large sport utility,USA,8.0,rear or all,3.5,6.0,320.0,19.0,25.0,14.0,9.6,156.0,197.0,47.0,202.0,79.0,77.0,116.0,42.0,5715.0,1580.0,50.5,64.5,41.0,7.0,65.0,27.5,3.5,average,,,,5,5,5,5.0,,,average,48000.0,0.0,
GMC Yukon XL,sport utility,large sport utility,USA,5.0,front,3.5,6.0,244.0,14.0,20.0,9.0,9.1,147.0,165.0,45.0,222.0,79.0,77.0,130.0,45.0,5935.0,1460.0,61.0,64.5,41.5,3.5,64.5,29.5,3.5,fair,average,,,5,5,5,5.0,,,average,53000.0,0.0,
Honda Accord,car,family car,Asia,5.0,front,3.5,6.0,268.0,21.0,30.0,15.0,7.4,137.0,148.0,53.5,194.0,73.0,58.0,110.0,40.0,3570.0,850.0,14.0,56.5,40.5,4.0,54.5,30.0,2.5,good,good,very good,very good,5,5,5,3.0,good,good,excellent,28000.0,0.0,
Honda Civic,car,small car,Asia,5.0,front,1.8,4.0,113.0,30.0,45.0,19.0,11.6,143.0,151.0,51.5,175.0,68.0,57.0,103.0,39.0,2645.0,850.0,13.0,52.5,41.5,3.0,52.0,28.0,2.0,excellent,good,very good,very good,5,5,4,5.0,good,good,good,22000.0,0.0,
Honda Civic Hybrid,car,small car,Asia,5.0,front or all,1.3,4.0,110.0,37.0,47.0,26.0,11.7,137.0,139.0,52.5,175.0,68.0,56.0,103.0,38.0,2730.0,850.0,10.0,52.5,41.5,5.0,52.0,28.0,3.5,good,excellent,very good,good,5,5,4,5.0,good,good,good,25000.0,0.0,
Honda CR-V,sport utility,small sport utility,Asia,5.0,front,2.4,4.0,166.0,21.0,29.0,15.0,10.6,135.0,139.0,53.5,178.0,72.0,66.0,103.0,39.0,3505.0,850.0,25.5,56.5,41.0,4.0,55.0,29.5,4.0,excellent,good,very good,good,5,5,5,5.0,good,good,good,29000.0,0.0,
Honda Element,sport utility,small sport utility,Asia,5.0,front or all,2.4,4.0,166.0,21.0,29.0,14.0,10.4,140.0,162.0,51.5,170.0,72.0,70.0,101.0,36.0,3650.0,675.0,47.0,57.0,41.0,7.5,52.0,31.0,2.0,excellent,good,very good,good,5,5,5,5.0,good,good,average,24000.0,0.0,
Honda Fit,car,family car,Asia,5.0,front,1.5,4.0,109.0,,,,,,,,157.0,66.0,60.0,97.0,,2515.0,,,53.0,,,50.5,,,good,excellent,,,5,5,5,4.0,good,good,good,16000.0,0.0,
Honda Insight,car,small car,Asia,2.0,front,1.0,3.0,80.0,51.0,,,11.2,132.0,,52.0,155.0,67.0,53.0,95.0,34.0,1875.0,365.0,16.0,49.5,41.5,3.5,,,,,,good,good,4,4,5,,,,,19000.0,0.0,
Honda Odyssey,minivan,minivan,Asia,7.0,front,3.5,6.0,255.0,19.0,28.0,12.0,8.6,136.0,144.0,50.0,201.0,77.0,69.0,118.0,40.0,4615.0,1320.0,66.5,62.5,41.5,4.5,62.0,31.0,5.5,good,good,very good,very good,5,5,5,5.0,good,good,good,33000.0,0.0,
Honda Pilot,sport utility,midsize sport utility,Asia,8.0,all,3.5,6.0,250.0,18.0,26.0,12.0,9.1,149.0,165.0,47.5,188.0,78.0,71.0,107.0,40.0,4535.0,1320.0,42.5,61.0,41.0,7.5,61.0,29.0,6.0,good,good,very good,good,5,5,5,5.0,good,good,good,35000.0,0.0,
Honda Ridgeline,truck,truck,Asia,5.0,all,3.5,6.0,247.0,15.0,23.0,10.0,8.6,149.0,153.0,48.0,207.0,76.0,70.0,122.0,45.0,4540.0,1530.0,,63.0,42.0,6.5,63.0,28.0,4.5,excellent,good,very good,good,5,5,5,5.0,good,good,good,32000.0,0.0,
Honda S2000,car,convertible,Asia,2.0,rear,2.2,4.0,240.0,25.0,30.0,19.0,5.8,126.0,134.0,57.0,162.0,69.0,51.0,95.0,36.0,2790.0,400.0,5.0,50.0,41.5,4.0,,,,excellent,excellent,excellent,excellent,4,4,5,,,,excellent,37000.0,0.0,
Hummer H2,sport utility,luxury sport utility,USA,6.0,all,6.2,8.0,393.0,11.0,14.0,7.0,8.5,159.0,181.0,44.0,204.0,81.0,79.0,123.0,45.0,6700.0,1800.0,38.0,65.0,40.0,3.5,65.0,26.5,3.5,,,very good,fair,,,,,,,,63000.0,0.0,
Hummer H3,sport utility,midsize sport utility,USA,5.0,all,3.5,5.0,220.0,14.0,20.0,10.0,11.5,149.0,170.0,45.5,187.0,75.0,74.0,112.0,37.0,4940.0,940.0,37.5,54.0,42.0,4.0,53.0,27.0,3.0,average,fair,,,5,4,5,5.0,acceptable,acceptable,average,40000.0,0.0,
Hyundai Accent,car,small car,USA,5.0,front,1.6,4.0,110.0,28.0,37.0,19.0,12.5,134.0,153.0,55.0,169.0,67.0,58.0,98.0,36.0,2590.0,850.0,12.0,53.0,40.5,4.5,52.0,25.5,2.0,good,fair,good,good,5,5,4,3.0,acceptable,poor,good,14000.0,1.0,
Hyundai Azera,car,upscale car,Asia,5.0,front,3.8,6.0,263.0,19.0,29.0,12.0,7.1,134.0,144.0,51.5,193.0,73.0,59.0,109.0,41.0,3835.0,860.0,17.0,57.5,40.0,4.0,56.0,29.0,3.5,average,good,very good,good,4,4,5,5.0,good,acceptable,good,28000.0,0.0,
Hyundai Elantra,car,small car,Asia,5.0,front,2.0,4.0,138.0,27.0,36.0,18.0,10.4,138.0,152.0,51.0,177.0,70.0,58.0,104.0,37.0,2945.0,850.0,14.0,55.0,40.0,3.0,53.0,26.5,2.0,excellent,average,very good,very good,5,5,4,4.0,good,marginal,good,17000.0,0.0,
Hyundai Entourage,minivan,minivan,Asia,7.0,front,2.0,4.0,250.0,17.0,25.0,11.0,9.0,141.0,152.0,50.5,202.0,78.0,69.0,119.0,43.0,4725.0,1155.0,65.0,63.0,40.0,5.0,65.0,31.0,2.0,poor,average,,,5,5,5,5.0,good,good,good,30000.0,0.0,
Hyundai Genesis,car,upscale car,Asia,5.0,rear,3.3,6.0,264.0,21.0,31.0,15.0,6.3,125.0,137.0,51.5,196.0,73.0,58.0,116.0,39.0,3860.0,860.0,,57.0,41.0,2.5,56.5,30.0,2.5,,,very good,very good,5,5,5,5.0,,,excellent,36000.0,0.0,
Hyundai Santa Fe,sport utility,small sport utility,Asia,5.0,front or all,3.3,6.0,242.0,18.0,25.0,12.0,8.5,131.0,139.0,51.5,184.0,74.0,68.0,106.0,39.0,4345.0,1120.0,37.5,59.5,41.0,3.0,57.5,27.5,4.5,good,good,very good,fair,5,5,5,5.0,good,good,good,30000.0,0.0,
Hyundai Sonota,car,family car,Asia,5.0,front,3.3,6.0,249.0,22.0,32.0,15.0,7.4,133.0,144.0,52.5,189.0,72.0,58.0,107.0,39.0,3605.0,860.0,16.0,57.0,41.0,3.0,55.5,29.5,3.0,good,average,very good,good,5,5,5,5.0,good,acceptable,good,26000.0,0.0,
Hyundai Tiburon,car,sports car,Asia,4.0,front,2.7,6.0,170.0,22.0,,,7.9,137.0,,52.5,173.0,69.0,52.0,100.0,38.0,3110.0,700.0,15.0,54.0,41.5,2.0,47.0,25.0,0.0,average,average,very good,very good,5,4,4,,,,good,22000.0,0.0,
Hyundai Tucson,sport utility,small sport utility,Asia,5.0,front or all,2.7,6.0,173.0,18.0,24.0,13.0,10.1,132.0,143.0,51.0,170.0,71.0,66.0,104.0,39.0,3800.0,860.0,31.0,55.5,41.0,5.0,55.5,29.0,4.0,good,average,good,good,5,5,5,5.0,acceptable,acceptable,good,24000.0,0.0,
Hyundai Veracruz,sport utility,midsize sport utility,Asia,7.0,front or all,3.8,6.0,260.0,17.0,24.0,11.0,8.6,138.0,154.0,50.0,191.0,77.0,69.0,110.0,41.0,4610.0,1160.0,41.5,59.5,39.0,3.0,59.5,29.5,4.0,average,good,good,good,5,5,5,5.0,good,good,good,35000.0,0.0,
Infiniti EX,sport utility,small sport utility,Asia,5.0,rear or all,3.5,6.0,297.0,18.0,26.0,12.0,6.7,130.0,140.0,53.0,182.0,71.0,62.0,110.0,39.0,3955.0,1075.0,,54.0,42.0,3.0,53.0,26.0,3.0,good,,excellent,very good,4,4,5,5.0,good,,good,38000.0,0.0,
Infiniti FX,sport utility,midsize sport utility,Asia,5.0,front,3.5,6.0,280.0,18.0,,,7.4,135.0,,49.0,189.0,77.0,65.0,112.0,42.0,4295.0,950.0,29.0,55.5,42.5,4.5,56.0,29.0,4.0,,,excellent,good,,,,,good,,,55000.0,0.0,
Infiniti G35,car,upscale car,Asia,5.0,front,3.5,6.0,306.0,18.0,25.0,12.0,5.6,125.0,134.0,55.0,187.0,70.0,57.0,112.0,38.0,3635.0,900.0,14.0,55.0,41.0,2.5,54.5,27.5,1.5,good,good,excellent,excellent,5,4,5,5.0,good,good,excellent,38000.0,0.0,
Infiniti I35,car,upscale car,Asia,5.0,front,3.5,6.0,255.0,20.0,,,7.0,128.0,,51.5,194.0,70.0,57.0,108.0,44.0,3400.0,880.0,15.0,56.0,41.0,2.5,56.0,29.5,1.5,excellent,average,very good,very good,,,,,,,,40000.0,0.0,
Infiniti M35/M45,car,luxury car,Asia,5.0,rear,3.5,6.0,280.0,18.0,25.0,12.0,7.0,122.0,134.0,55.0,193.0,71.0,59.0,114.0,39.0,3890.0,860.0,13.0,57.0,41.0,4.0,54.5,30.0,3.0,good,good,excellent,very good,,,,,good,good,,52000.0,0.0,
Infiniti QX,sport utility,luxury sport utility,Asia,8.0,rear or 4WD,5.6,8.0,275.0,,,,,,,,207.0,80.0,79.0,123.0,,5905.0,1405.0,,65.0,,,64.5,,,average,fair,,,5,4,,,,,average,59000.0,0.0,
Isuzu Ascender,sport utility,small sport utility,Asia,7.0,rear or selectable 4WD,4.2,6.0,315.0,,,,,,,,192.0,75.0,75.0,113.0,39.0,4830.0,1155.0,39.0,58.5,40.0,2.5,58.0,25.5,3.5,,,,,3,4,5,5.0,acceptable,good,good,29000.0,0.0,
Isuzu i-Series,truck,truck,Asia,5.0,rear or parttime 4WD,3.7,5.0,242.0,,,,,,,,207.0,69.0,65.0,126.0,,4095.0,1340.0,,57.0,,,57.0,,,,,,,5,5,4,5.0,good,,good,26000.0,0.0,
Jaguar X-Type,car,upscale car,Europe,5.0,all,3.0,6.0,227.0,19.0,,,7.8,136.0,,53.0,184.0,70.0,55.0,107.0,38.0,3625.0,880.0,16.0,54.0,41.0,2.5,53.0,27.0,2.0,,,excellent,very good,4,4,4,4.0,acceptable,,good,37000.0,0.0,
Jaguar XF,car,luxury car,Europe,5.0,rear,4.2,8.0,300.0,20.0,27.0,13.0,6.4,133.0,144.0,50.5,195.0,72.0,58.0,115.0,40.0,4015.0,880.0,18.0,56.0,41.5,3.5,56.0,27.5,2.0,,,,,,,,,,,,55000.0,0.0,
Jaguar XJ,car,luxury car,Europe,5.0,rear,4.2,8.0,294.0,19.0,30.0,12.0,7.1,133.0,143.0,52.0,200.0,73.0,57.0,119.0,41.0,3860.0,880.0,17.0,58.0,41.5,4.0,58.5,29.5,3.5,,,very good,very good,  ,  ,,,,,,88000.0,0.0,
Jaguar XK,car,sports car,Europe,4.0,rear,4.2,8.0,300.0,19.0,27.0,13.0,7.0,128.0,138.0,53.5,189.0,82.0,52.0,108.0,38.0,3890.0,840.0,11.0,56.0,42.5,4.0,41.0,17.0,0.0,fair,good,very good,very good,,,,,,,,82000.0,0.0,
Jeep Commander,sport utility,midsize sport utility,USA,7.0,rear or 4WD,5.7,8.0,330.0,13.0,19.0,9.0,7.3,148.0,160.0,44.5,189.0,89.0,72.0,110.0,41.0,5245.0,1100.0,38.5,59.0,42.0,4.5,58.0,26.5,5.0,poor,fair,good,fair,5,5,,,,,,42000.0,0.0,
Jeep Compass,sport utility,small sport utility,USA,5.0,front or all,2.4,4.0,172.0,22.0,28.0,16.0,10.1,143.0,163.0,53.0,173.0,69.0,65.0,104.0,38.0,3380.0,925.0,26.5,54.0,41.5,6.5,53.5,27.0,5.0,average,fair,,,4,4,5,5.0,good,good,,23000.0,0.0,
Jeep Grand Cherokee,sport utility,small sport utility,USA,5.0,rear or selectable 4WD,4.7,8.0,305.0,15.0,20.0,10.0,7.6,139.0,152.0,51.5,186.0,84.0,69.0,109.0,41.0,4690.0,1050.0,33.0,59.0,42.0,2.0,58.5,26.0,3.0,poor,fair,good,good,5,5,5,5.0,good,marginal,good,42000.0,0.0,
Jeep Liberty,sport utility,small sport utility,USA,5.0,rear or selectable 4WD,3.7,6.0,210.0,16.0,22.0,11.0,9.2,150.0,155.0,48.5,177.0,72.0,70.0,106.0,39.0,4220.0,950.0,36.5,57.0,41.0,3.0,56.5,28.0,5.0,fair,fair,very good,fair,5,5,5,5.0,good,marginal,average,27000.0,0.0,
Jeep Patriot,sport utility,small sport utility,USA,5.0,front or all,2.4,4.0,172.0,20.0,25.0,14.0,10.8,146.0,168.0,48.0,174.0,69.0,64.0,104.0,38.0,3575.0,925.0,29.5,54.5,41.0,4.0,54.0,26.0,6.0,good,fair,,fair,4,5,5,5.0,good,good,good,23000.0,0.0,
Jeep Wrangler,sport utility,small sport utility,USA,4.0,parttime 4WD,3.8,6.0,205.0,15.0,21.0,10.0,10.7,150.0,172.0,46.0,173.0,74.0,71.0,116.0,43.0,4550.0,850.0,34.5,56.0,41.0,5.5,57.0,28.0,5.0,poor,average,,,5,5,,,good,marginal,good,30000.0,0.0,
Kia Amanti,car,upscale car,Asia,5.0,front,3.8,6.0,264.0,18.0,27.0,12.0,7.3,142.0,155.0,50.0,197.0,73.0,59.0,110.0,42.0,3870.0,860.0,16.0,58.0,41.0,3.0,56.5,28.5,4.0,,,good,good,5,5,5,5.0,good,good,,25000.0,0.0,
Kia Borrego,sport utility,midsize sport utility,Asia,7.0,rear or all,3.8,6.0,262.0,,,,,,,,192.0,75.0,70.0,114.0,,4510.0,,,,,,,,,,,,,5,5,5,5.0,,,good,32000.0,0.0,
Kia Optima,car,family car,Asia,5.0,front,2.7,6.0,185.0,21.0,31.0,14.0,8.6,141.0,144.0,54.0,186.0,71.0,58.0,107.0,39.0,3430.0,825.0,15.0,56.0,40.5,2.5,55.5,29.0,2.0,excellent,fair,good,,4,5,4,3.0,good,acceptable,good,23000.0,0.0,
Kia Rio,car,small car,Asia,5.0,front,1.6,4.0,110.0,28.0,37.0,19.0,12.8,132.0,150.0,55.5,167.0,67.0,58.0,98.0,35.0,2615.0,850.0,9.0,53.5,40.0,4.5,52.0,25.0,2.0,,,,good,5,5,5,4.0,acceptable,poor,good,15000.0,0.0,
Kia Rondo,car,wagon,Asia,7.0,front,2.7,6.0,182.0,21.0,29.0,14.0,9.6,140.0,163.0,52.0,179.0,72.0,65.0,106.0,39.0,3660.0,825.0,33.0,57.0,40.0,6.0,56.5,28.0,5.0,good,average,very good,good,5,5,5,4.0,,,good,21000.0,0.0,
Kia Sedona,minivan,minivan,Asia,7.0,front,3.8,6.0,244.0,17.0,25.0,11.0,9.0,141.0,152.0,50.5,202.0,78.0,69.0,119.0,43.0,4725.0,1155.0,65.0,63.0,40.0,5.0,65.0,31.0,2.0,fair,fair,good,,5,5,5,5.0,good,good,good,26000.0,0.0,
Kia Sorento,sport utility,small sport utility,Asia,5.0,rear or parttime 4WD,3.3,6.0,242.0,17.0,23.0,13.0,8.0,138.0,141.0,50.5,180.0,74.0,71.0,107.0,38.0,4500.0,880.0,32.0,58.5,40.0,4.5,57.5,28.5,5.0,fair,poor,good,good,5,5,5,5.0,good,poor,good,26000.0,0.0,
Kia Spectra,car,small car,Asia,5.0,front,2.0,4.0,138.0,25.0,36.0,18.0,11.4,144.0,153.0,50.0,176.0,68.0,58.0,103.0,37.0,2875.0,850.0,12.0,55.0,41.0,5.0,54.0,28.0,2.5,good,fair,good,good,5,5,4,4.0,acceptable,marginal,good,17000.0,0.0,
Kia Sportage,sport utility,small sport utility,Asia,5.0,front or all,2.7,6.0,173.0,18.0,25.0,13.0,11.3,148.0,172.0,52.5,170.0,71.0,66.0,104.0,38.0,3750.0,860.0,31.0,56.0,40.0,4.0,54.0,29.0,5.0,good,average,very good,good,5,5,5,5.0,acceptable,acceptable,good,23000.0,0.0,
Land Rover Freelander,sport utility,midsize sport utility,USA,5.0,all,2.5,6.0,174.0,17.0,,,10.7,127.0,,52.5,175.0,71.0,69.0,101.0,40.0,3640.0,905.0,29.0,55.5,40.5,2.5,55.0,28.0,3.0,poor,poor,very good,,4,,,,,,,26000.0,0.0,
Land Rover LR2,sport utility,small sport utility,USA,5.0,all,3.2,6.0,230.0,18.0,25.0,12.0,9.1,128.0,139.0,51.5,177.0,75.0,69.0,105.0,39.0,4325.0,1100.0,,57.0,41.0,3.5,57.5,27.5,5.0,poor,average,very good,poor,,,,,,,,35000.0,0.0,
Land Rover LR3,sport utility,luxury sport utility,USA,7.0,all,4.4,8.0,300.0,13.0,21.0,9.0,9.1,134.0,145.0,47.5,191.0,75.0,74.0,114.0,39.0,5705.0,1475.0,51.5,59.5,41.0,5.5,59.5,28.0,6.5,poor,,,,,,,,,,,50000.0,0.0,
Land Rover Range Rover,sport utility,luxury sport utility,USA,5.0,4WD,4.4,8.0,282.0,,,,,,,,196.0,86.0,75.0,113.0,42.0,5670.0,1055.0,38.0,61.0,41.0,5.0,60.0,30.5,3.5,poor,average,,,,,,,,,,85000.0,0.0,
Land Rover Range Rover Sport,sport utility,luxury sport utility,USA,5.0,parttime 4WD,4.4,8.0,300.0,14.0,20.0,9.0,9.4,131.0,144.0,50.5,189.0,76.0,70.0,108.0,40.0,5500.0,1300.0,34.0,59.0,41.0,3.5,58.0,27.0,3.5,poor,,excellent,very good,,,,,,,,62000.0,0.0,
